Table 1,"","","","","","",""
4,USA,Marshall Tsan-wei BRAYTON,8.48,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
5,USA,Bryant WANG,8.47,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
6,USA,Elijah YU,8.44,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
7,USA,Kenny PHAN,8.36,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
8,USA,Jake MA,8.34,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
9,USA,Jonathan QIU,8.33,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
10,USA,Devin MINANO,8.32,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
11,GER,David KLEINSCHMIDT,8.31,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
12,MAS,Christian SIAH,8.30,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
13,USA,Isaac WU,8.27,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"
14,BRA,Luiz Felipe SEBASTIAO MARINS,8.24,"",Men's Group B Gun (Cudgel/Staff),Taolu,"EMEISHAN, CHINA"

Table 6,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,ITA,Luca CASAGRANDE,8.78,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
2,SGP,Shannon Woo Hong Wei WOO,8.74,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
3,USA,Stephen LO,8.70,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
4,MAS,Mi Men TAN,8.68,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
5,USA,Lai TRAN,8.63,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
6,USA,Thomas HOU,8.60,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"
7,AUS,Aaron KUOK,8.54,"",Men's Group C Qiang (Spear),Taolu,"EMEISHAN, CHINA"

Table 7,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,TPE,Yu Hsien CHANG,9.00,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
2,USA,Samuel WANG,8.99,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
3,USA,Kenny LIANG,8.89,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
4,TUR,Necmettin Erbakan AKYUZ,8.88,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
5,EGY,Mohamed Osama Abdelsalam ELAZAB,8.86,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
6,FRA,Casey CALABER,8.85,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
7,CZE,Karel KORENC,8.84,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
8,USA,Jason LUO,8.82,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
9,USA,Seth BURNS,8.81,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
10,INA,Arya GITA SENTOSA,8.75,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
11,CZE,Max PROCHAZKA,8.73,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
12,USA,Benny LAM,8.72,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
13,SVK,Michal REDHAMMER,8.71,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
14,MAS,Zer Xuan KOW,8.70,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
15,USA,Randall ROSS,8.69,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
16,USA,Jackson GALLAGHER,8.69,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
17,MAS,Wei Bin CHIN,8.65,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
18,USA,Hanson MA,8.61,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
19,USA,Eric YEH,8.60,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
20,USA,Benjamin WRINN,8.54,"",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
Default,ITA,Joao Paulo PETITO,"","",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"
Default,USA,Vearnest McClellan lll,"","",Men's Group C P Dao(Kwan Dao),Taolu,"EMEISHAN, CHINA"

Table 8,"","","","","","",""
Rank BIB,Team,Athlete,Score,Remark,"","",""
1,USA,Lucas DONG,8.71,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
2,USA,Lucas DONG,8.70,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
3,USA,Raiden GUNAWAN,8.67,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
4,USA,Jamie WHITFORD,8.66,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
5,USA,Lianhan LI,8.66,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
6,USA,Jasper Zhen Bao LI,8.66,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
7,EGY,Zyad MOHAMED,8.65,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
8,USA,Kaden WONG,8.63,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
9,TPE,Hao Zhe YOU,8.61,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
10,USA,Justin SHEN,8.60,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
11,CUB,Hailong VARGAS TAO,8.57,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
12,USA,Lyubomir TZANKOV,8.55,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
13,USA,Landau TZOU,8.50,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
14,USA,Brad WU,8.48,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
15,USA,Zenryu YEE,8.47,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
16,CAN,Max Si-cheng DONG,8.45,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
17,USA,Timothy JIANG,8.43,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
18,POL,Mieszko Leszek PRZYGODA,8.41,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
19,USA,Donghe ZHANG,8.40,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
20,USA,Ashvik VADLAMANI,8.40,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
21,USA,Santiago PALOMINO,8.39,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
22,CAN,Rui Lang WANG,8.38,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
23,MAS,Wei Ming CHUA,8.38,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
24,IND,Sarthak VERMA,8.36,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"
25,USA,Andres PALOMINO,8.35,"",Men's Group B Other Traditional Weapon,Taolu,"EMEISHAN, CHINA"

Table 9,"","","","","","",""
