"","Team","Athlete","Score","Remark","Sex","Group","Form"
"130","IRI","soad kaheni",8.66,"","W","Group D"," Traditional Yang Style Taijiquan"
"131","AUS","Rebecca Pui Ting Ho",8.65,"","W","Group D"," Traditional Yang Style Taijiquan"
"132","BOL","Cecilia Pinedo Soruco",8.64,"","W","Group D"," Traditional Yang Style Taijiquan"
"133","HKG","CHEUNG Yat Wah Carol",8.64,"","W","Group D"," Traditional Yang Style Taijiquan"
"134","CHN","HUI HETONG",9.27,"1st Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"135","GER","Eric Jonischkeit",9.12,"1st Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"136","NZL","David John Thew",9.11,"2nd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"137","EGY","Mohamed Kamel Abdelhady Saad",9.02,"2nd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"138","EGY","Hassan khalifa Zayed Mahmoud",9.01,"2nd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"139","ESP","ELOY ALBERTO NINO ORTEGA",8.87,"3rd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"140","RUS","Sergey POPOV",8.85,"3rd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"141","BRA","Marcio Luiz ZAQUEU",8.85,"3rd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"142","AUS","Samuel Man",8.84,"3rd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"143","HKG","TIK Hoffman Ho Kit",8.84,"3rd Category Prize","M","Group D"," Traditional Yang Style Taijiquan"
"144","HKG","MOK Kim Tong",8.83,"","M","Group D"," Traditional Yang Style Taijiquan"
"145","BRA","Hemerson Carvalho de OLIVEIRA",8.81,"","M","Group D"," Traditional Yang Style Taijiquan"
"146","POL","Piotr Miaskiewicz",8.81,"","M","Group D"," Traditional Yang Style Taijiquan"
"147","IRI","mahdi ramezanzadeh",8.79,"","M","Group D"," Traditional Yang Style Taijiquan"
"148","HKG","LAU King Yuen",8.76,"","M","Group D"," Traditional Yang Style Taijiquan"
"149","HKG","TSANG Kwong Choi",8.74,"","M","Group D"," Traditional Yang Style Taijiquan"
"150","FRA","KLINGER Michael",8.63,"","M","Group D"," Traditional Yang Style Taijiquan"
"151","USA","Qijing YUE",9.18,"1st Category Prize","W","Group E"," Traditional Yang Style Taijiquan"
"152","JPN","SACHIKO YAGYU",9.1,"2nd Category Prize","W","Group E"," Traditional Yang Style Taijiquan"
"153","NZL","Satomi Taylor",9.08,"3rd Category Prize","W","Group E"," Traditional Yang Style Taijiquan"
"154","AUS","Janice Zurzolo",8.92,"3rd Category Prize","W","Group E"," Traditional Yang Style Taijiquan"
"155","JPN","MASUYO SHIMIZU",8.91,"","W","Group E"," Traditional Yang Style Taijiquan"
"156","USA","Dorothy HSIAO",8.9,"","W","Group E"," Traditional Yang Style Taijiquan"
"157","HKG","WONG Suk Kuen",8.88,"","W","Group E"," Traditional Yang Style Taijiquan"
"158","EGY","Amir Elsayed Meabd Abdeltwab",9.1,"1st Category Prize","M","Group C"," Xingyi Quan"
"159","RUS","Oleg KHANDESHIN",9.06,"2nd Category Prize","M","Group C"," Xingyi Quan"
"160","AUS","Corey Johnstone",8.93,"2nd Category Prize","M","Group C"," Xingyi Quan"
"161","RSA","Alexander Dirk DU PLESSIS",8.91,"3rd Category Prize","M","Group C"," Xingyi Quan"
"162","TUN","mohamed dadda",8.73,"3rd Category Prize","M","Group C"," Xingyi Quan"
"163","YEM","SADDAM HUSSEIN AL-RAHOMI",8.71,"","M","Group C"," Xingyi Quan"
"164","RSA","Thor VAN DER MESCHT",8.7,"","M","Group C"," Xingyi Quan"
"165","RSA","Khayelihle Goodenough JALI",8.53,"","M","Group C"," Xingyi Quan"
"166","CHN","XIONG YABING",9.23,"1st Category Prize","M","Group D"," Xingyi Quan"
"167","BRA","Krishna Ramos RAZA",8.86,"2nd Category Prize","M","Group D"," Xingyi Quan"
"168","BRA","Sergio TANOSHI",8.8,"2nd Category Prize","M","Group D"," Xingyi Quan"
"169","RUS","Mikhail NATURALNYY",8.67,"3rd Category Prize","M","Group D"," Xingyi Quan"
"170","RUS","Andrey NOVOSELOV",8.66,"3rd Category Prize","M","Group D"," Xingyi Quan"
"171","USA","Ning WU",8.6,"3rd Category Prize","M","Group D"," Xingyi Quan"
"172","SUI","Alexandre Yvan MATHYS",8.6,"3rd Category Prize","M","Group D"," Xingyi Quan"
"173","IRI","hassan ghasemi soltanabadi",8.6,"3rd Category Prize","M","Group D"," Xingyi Quan"
"174","JPN","KATSUTO TAKANO",8.58,"","M","Group D"," Xingyi Quan"
"175","USA","Audrey HUIE",8.83,"1st Category Prize","W","Group B"," Bagua Zhang"
"176","TUR","Zeynep AKYUZ",8.82,"2nd Category Prize","W","Group B"," Bagua Zhang"
"177","USA","Isabella MILLER",8.78,"3rd Category Prize","W","Group B"," Bagua Zhang"
"178","RUS","Kamila IMANGULOVA",8.65,"3rd Category Prize","W","Group B"," Bagua Zhang"
"179","CAN","Lissy Liu",8.63,"","W","Group B"," Bagua Zhang"
"180","RUS","Idalia GAFAROVA",8.6,"","W","Group B"," Bagua Zhang"
"181","USA","Rachel SU",8.5,"","W","Group B"," Bagua Zhang"
"182","CHN","ZHANG KAI",8.9,"1st Category Prize","M","Group D"," Bagua Zhang"
"183","USA","Gerard SILVA",8.89,"2nd Category Prize","M","Group D"," Bagua Zhang"
"184","SVK","Peter KYSEL",8.81,"3rd Category Prize","M","Group D"," Bagua Zhang"
"185","GER","Christian Ameis",8.78,"3rd Category Prize","M","Group D"," Bagua Zhang"
"186","LAT","Anatolijs Kiselovs",8.63,"","M","Group D"," Bagua Zhang"
"187","JPN","YOSHIHIRO NISHIKAWA",8.63,"","M","Group D"," Bagua Zhang"
"188","UKR","Yudin Bohdan",8.8,"1st Category Prize","M","Group B"," Baji Quan"
"189","USA","Aspen SHEN",8.72,"2nd Category Prize","M","Group B"," Baji Quan"
"190","LAT","Daniils Kirjusins",8.72,"2nd Category Prize","M","Group B"," Baji Quan"
"191","INA","MUHAMMAD RAFID ARYOKUSUMO",8.68,"3rd Category Prize","M","Group B"," Baji Quan"
"192","CAN","Peter Nai Ming Guo",8.58,"","M","Group B"," Baji Quan"
"193","RUS","Iuliia TIMIRKINA",9.09,"1st Category Prize","W","Group C"," Baji Quan"
"194","UKR","Ganna Tereshchenko",9.08,"2nd Category Prize","W","Group C"," Baji Quan"
"195","UKR","Varlamova Nataliia",9.06,"3rd Category Prize","W","Group C"," Baji Quan"
"196","RUS","Elena VASENINA",9,"3rd Category Prize","W","Group C"," Baji Quan"
"197","RUS","Nina SAFAROVA",8.86,"","W","Group C"," Baji Quan"
"198","USA","Julianna YIP",8.78,"","W","Group C"," Baji Quan"
"199","RUS","Alexey NAZINKIN",9.08,"1st Category Prize","M","Group C"," Baji Quan"
"200","LTU","Aram MURADYAN",9,"2nd Category Prize","M","Group C"," Baji Quan"
"201","RUS","Ivan MOLCHANOV",8.97,"3rd Category Prize","M","Group C"," Baji Quan"
"202","MAC","KONG CHIN IEONG",8.91,"3rd Category Prize","M","Group C"," Baji Quan"
"203","USA","Anthony DIAZ",8.9,"","M","Group C"," Baji Quan"
"204","FRA","FACHON Mathieu",8.81,"","M","Group C"," Baji Quan"
"205","NED","Nelson da Luz Bentes",8.7,"","M","Group C"," Baji Quan"
"206","USA","Sen GAO",9.13,"1st Category Prize","M","Group C"," Tongbei Quan"
"207","RUS","Andrey MORKOVKIN",9.05,"2nd Category Prize","M","Group C"," Tongbei Quan"
"208","ESP","LUIS CALLE PANIAGUA",8.95,"3rd Category Prize","M","Group C"," Tongbei Quan"
"209","BRU","Ang Lu Guan",8.9,"3rd Category Prize","M","Group C"," Tongbei Quan"
"210","USA","Roger ROSALES",8.8,"","M","Group C"," Tongbei Quan"
"211","MAR","MOHAMED AJBAH",8.64,"","M","Group C"," Tongbei Quan"
"212","MAR","AZIZ ELHAIBA",8.58,"","M","Group C"," Tongbei Quan"
"213","USA","Phillip DANG",8.96,"1st Category Prize","M","Group C"," Fanzi Quan"
"214","GEO","DAVID GULISASHVIILI",8.91,"2nd Category Prize","M","Group C"," Fanzi Quan"
"215","USA","Tony LENG",8.88,"3rd Category Prize","M","Group C"," Fanzi Quan"
"216","USA","Edgar RUIZ",8.82,"3rd Category Prize","M","Group C"," Fanzi Quan"
"217","FRA","GIOT Robin",8.53,"","M","Group C"," Fanzi Quan"
"218","USA","Mia SHIUE",8.81,"1st Category Prize","W","Group B"," Imitation Styles"
"219","USA","Brillian FU",8.78,"1st Category Prize","W","Group B"," Imitation Styles"
"220","KAZ","Traize Regina",8.77,"2nd Category Prize","W","Group B"," Imitation Styles"
"221","NED","Jehlee Jaquet",8.74,"2nd Category Prize","W","Group B"," Imitation Styles"
"222","USA","Faith ZHANG",8.71,"2nd Category Prize","W","Group B"," Imitation Styles"
"223","USA","Rachel LEE",8.71,"2nd Category Prize","W","Group B"," Imitation Styles"
"224","NED","Lisa Muresu",8.66,"3rd Category Prize","W","Group B"," Imitation Styles"
"225","USA","Rachel HO",8.65,"3rd Category Prize","W","Group B"," Imitation Styles"
"226","UKR","Ivanova Mariya",8.62,"3rd Category Prize","W","Group B"," Imitation Styles"
"227","USA","Selina LEE",8.62,"3rd Category Prize","W","Group B"," Imitation Styles"
"228","USA","Fiona WANG",8.56,"","W","Group B"," Imitation Styles"
"229","USA","Amber MIN",8.53,"","W","Group B"," Imitation Styles"
"230","RSA","Nomthandazo Thabsile THUSI",8.53,"","W","Group B"," Imitation Styles"
"231","USA","Yeeling TAI",8.5,"","W","Group B"," Imitation Styles"
"232","USA","Jessica DU",8.5,"","W","Group B"," Imitation Styles"
"233","USA","Angela SONG",8.45,"","W","Group B"," Imitation Styles"
"234","USA","Alex NI",8.86,"1st Category Prize","M","Group B"," Imitation Styles"
"235","RUS","Aleksander EMELIANINKO",8.84,"1st Category Prize","M","Group B"," Imitation Styles"
"236","USA","Andre MAGNUM",8.71,"2nd Category Prize","M","Group B"," Imitation Styles"
"237","USA","Angelo GUO",8.66,"2nd Category Prize","M","Group B"," Imitation Styles"
"238","FRA","SAATENANG Dominique",8.65,"2nd Category Prize","M","Group B"," Imitation Styles"
"239","USA","Song Tian OU",8.64,"2nd Category Prize","M","Group B"," Imitation Styles"
"240","ITA","Lorenzo MURRU",8.6,"3rd Category Prize","M","Group B"," Imitation Styles"
"241","USA","Josh WEINSTEIN",8.6,"3rd Category Prize","M","Group B"," Imitation Styles"
"242","USA","Bridge LIU",8.59,"3rd Category Prize","M","Group B"," Imitation Styles"
"243","NED","Dorin Radulescu",8.58,"3rd Category Prize","M","Group B"," Imitation Styles"
"244","USA","Cheng-en YEW",8.57,"3rd Category Prize","M","Group B"," Imitation Styles"
"245","USA","Lelan YUNG",8.57,"3rd Category Prize","M","Group B"," Imitation Styles"
"246","USA","Brandon LIU",8.56,"3rd Category Prize","M","Group B"," Imitation Styles"
"247","USA","Jack AQUI",8.56,"3rd Category Prize","M","Group B"," Imitation Styles"
"248","ITA","Patrizio MAIORANO",8.56,"3rd Category Prize","M","Group B"," Imitation Styles"
"249","USA","Anson SHEU",8.51,"","M","Group B"," Imitation Styles"
"250","RSA","Carlin GLANSBEEK",8.51,"","M","Group B"," Imitation Styles"
"251","USA","Jubei D AMATO",8.5,"","M","Group B"," Imitation Styles"
"252","GER","Jean Michel Merten",8.48,"","M","Group B"," Imitation Styles"
"253","USA","Bryant WANG",8.47,"","M","Group B"," Imitation Styles"
"254","USA","Vincent SHEU",8.47,"","M","Group B"," Imitation Styles"
"255","USA","Christian TSAI",8.45,"","M","Group B"," Imitation Styles"
"256","JPN","MAARI IWATA",8.76,"1st Category Prize","W","Group C"," Imitation Styles"
"257","UKR","LIUDMYLA TEMNA",8.75,"2nd Category Prize","W","Group C"," Imitation Styles"
"258","UKR","Berezina Olexandra",8.72,"2nd Category Prize","W","Group C"," Imitation Styles"
"259","USA","Jacqueline WONG",8.65,"3rd Category Prize","W","Group C"," Imitation Styles"
"260","ITA","Sonia PUDDU",8.65,"3rd Category Prize","W","Group C"," Imitation Styles"
"261","USA","Winny WEN",8.59,"3rd Category Prize","W","Group C"," Imitation Styles"
"262","MAC","WAI PUI CHENG",8.57,"","W","Group C"," Imitation Styles"
"263","CAN","Maria Bianca Ngo Go",8.56,"","W","Group C"," Imitation Styles"
"264","NZL","Yin-Chi Lee",8.54,"","W","Group C"," Imitation Styles"
"265","SVK","Simona HOLOTOVA",8.49,"","W","Group C"," Imitation Styles"
"266","MEX","Maricela GUAJARDO",8.41,"","W","Group C"," Imitation Styles"
"267","RUS","Vladimir MAXIMOV",8.87,"1st Category Prize","M","Group C"," Imitation Styles"
"268","UKR","Andriy Fehetsyn",8.87,"1st Category Prize","M","Group C"," Imitation Styles"
"269","RUS","Artem ZAGIBALOV",8.85,"2nd Category Prize","M","Group C"," Imitation Styles"
"270","UKR","ROMAN REVA",8.83,"2nd Category Prize","M","Group C"," Imitation Styles"
"271","LAT","Aleksandrs Gorskis",8.7,"2nd Category Prize","M","Group C"," Imitation Styles"
"272","FRA","MBOUYOM Franck",8.7,"2nd Category Prize","M","Group C"," Imitation Styles"
"273","JPN","KOICHI SUEYOSHI",8.67,"3rd Category Prize","M","Group C"," Imitation Styles"
"274","KAZ","Dauletzhan Gali",8.67,"3rd Category Prize","M","Group C"," Imitation Styles"
"275","NZL","Jun Nakanishi Selwyn",8.65,"3rd Category Prize","M","Group C"," Imitation Styles"
"276","ITA","Alberto DI MUZIO",8.65,"3rd Category Prize","M","Group C"," Imitation Styles"
"277","NED","Alex Cheung",8.65,"3rd Category Prize","M","Group C"," Imitation Styles"
"278","USA","Stanley D AMATO",8.65,"3rd Category Prize","M","Group C"," Imitation Styles"
"279","ITA","Claudio DI BENEDETTO",8.63,"","M","Group C"," Imitation Styles"
"280","JPN","KOKI ODAKA",8.62,"","M","Group C"," Imitation Styles"
